COUNTS	TIMESTAMP	DB.OPERATOR	EXACT
1000000	"2020-12-14 20:41"	"Alexei Kouprianov"	FALSE
1305000	"2020-12-14 21:23"	"Maria Pirogovskaya"	FALSE
1752434	"2020-12-14 22:52"	"Alexei Kouprianov"	TRUE
2238987	"2020-12-15 00:15"	"Maria Pirogovskaya"	TRUE
2864577	"2020-12-15 01:50"	"Alexei Kouprianov"	TRUE
3988034	"2020-12-15 04:14"	"Alexei Kouprianov"	TRUE
4120898	"2020-12-15 05:00"	"Alexei Kouprianov"	TRUE
4633835	"2020-12-15 09:18"	"Alexei Kouprianov"	TRUE
4792895	"2020-12-15 10:09"	"Alexei Kouprianov"	TRUE
4978863	"2020-12-15 10:53"	"Alexei Kouprianov"	TRUE
5189868	"2020-12-15 11:45"	"Alexei Kouprianov"	TRUE
5609442	"2020-12-15 12:57"	"Alexei Kouprianov"	TRUE
5963899	"2020-12-15 13:44"	"Dmitry Goncharov"	TRUE
6001891	"2020-12-15 13:55"	"Dmitry Goncharov"	TRUE
6193605	"2020-12-15 14:39"	"Dmitry Goncharov"	TRUE
6270486	"2020-12-15 15:00"	"Alexei Kouprianov"	TRUE
6340767	"2020-12-15 15:21"	"Dmitry Goncharov"	TRUE
6744466	"2020-12-15 17:00"	"Alexei Kouprianov"	TRUE
7279317	"2020-12-15 19:13"	"Alexei Kouprianov"	TRUE
8115744	"2020-12-15 23:00"	"Alexei Kouprianov"	TRUE
8499914	"2020-12-16 00:35"	"Alexei Kouprianov"	TRUE
8530440	"2020-12-16 00:45"	"Alexei Kouprianov"	TRUE
8702955	"2020-12-16 01:40"	"Alexei Kouprianov"	TRUE
8762359	"2020-12-16 02:00"	"Alexei Kouprianov"	TRUE
8881637	"2020-12-16 02:40"	"Alexei Kouprianov"	TRUE
8970034	"2020-12-16 02:40"	"Alexei Kouprianov"	TRUE
9055781	"2020-12-16 04:01"	"Alexei Kouprianov"	TRUE
9078305	"2020-12-16 04:21"	"Alexei Kouprianov"	TRUE
9110899	"2020-12-16 04:45"	"Alexei Kouprianov"	TRUE
9134993	"2020-12-16 04:45"	"Alexei Kouprianov"	TRUE
9516514	"2020-12-16 10:28"	"Alexei Kouprianov"	TRUE
9654092	"2020-12-16 11:40"	"Alexei Kouprianov"	TRUE
10013605	"2020-12-16 13:35"	"Alexei Kouprianov"	TRUE
10504481	"2020-12-16 17:09"	"Alexei Kouprianov"	TRUE
10674257	"2020-12-16 18:17"	"Alexei Kouprianov"	TRUE
10774054	"2020-12-16 19:00"	"Alexei Kouprianov"	TRUE
10856175	"2020-12-16 19:40"	"Alexei Kouprianov"	TRUE
11016313	"2020-12-16 20:47"	"Alexei Kouprianov"	TRUE
11101988	"2020-12-16 21:31"	"Alexei Kouprianov"	TRUE
11241599	"2020-12-16 22:30"	"Alexei Kouprianov"	TRUE
11414482	"2020-12-16 23:45"	"Alexei Kouprianov"	TRUE
11748280	"2020-12-17 01:15"	"Alexei Kouprianov"	TRUE
12077517	"2020-12-17 03:58"	"Alexei Kouprianov"	TRUE
12125872	"2020-12-17 04:46"	"Alexei Kouprianov"	TRUE
12337263	"2020-12-17 09:05"	"Alexei Kouprianov"	TRUE
12453722	"2020-12-17 10:30"	"Alexei Kouprianov"	TRUE
12575933	"2020-12-17 11:40"	"Alexei Kouprianov"	TRUE
12622936	"2020-12-17 12:00"	"Alexei Kouprianov"	TRUE
12944888	"2020-12-17 13:37"	"Alexei Kouprianov"	TRUE
13111401	"2020-12-17 15:20"	"Alexei Kouprianov"	TRUE
13296864	"2020-12-17 17:10"	"Alexei Kouprianov"	TRUE
13408177	"2020-12-17 18:30"	"Alexei Kouprianov"	TRUE
13454098	"2020-12-17 19:01"	"Alexei Kouprianov"	TRUE
13663654	"2020-12-17 21:16"	"Alexei Kouprianov"	TRUE
13871356	"2020-12-17 22:46"	"Alexei Kouprianov"	TRUE
14033714	"2020-12-17 23:51"	"Alexei Kouprianov"	TRUE
14395062	"2020-12-18 02:46"	"Alexei Kouprianov"	TRUE
14587142	"2020-12-18 04:40"	"Alexei Kouprianov"	TRUE
14819551	"2020-12-18 10:35"	"Alexei Kouprianov"	TRUE
14925075	"2020-12-18 12:20"	"Alexei Kouprianov"	TRUE
15012318	"2020-12-18 13:15"	"Alexei Kouprianov"	TRUE
15109606	"2020-12-18 14:51"	"Alexei Kouprianov"	TRUE
15112543	"2020-12-18 15:01"	"Alexei Kouprianov"	TRUE
15154061	"2020-12-18 15:43"	"Alexei Kouprianov"	TRUE
15983997	"2020-12-19 02:55"	"Alexei Kouprianov"	TRUE
16030009	"2020-12-19 04:10"	"Alexei Kouprianov"	TRUE
16040775	"2020-12-19 04:25"	"Alexei Kouprianov"	TRUE
16110771	"2020-12-19 09:00"	"Alexei Kouprianov"	TRUE
16257544	"2020-12-19 13:21"	"Alexei Kouprianov"	TRUE
16360439	"2020-12-19 16:04"	"Alexei Kouprianov"	TRUE
16422824	"2020-12-19 17:35"	"Alexei Kouprianov"	TRUE
16465474	"2020-12-19 18:41"	"Alexei Kouprianov"	TRUE
16507746	"2020-12-19 19:38"	"Alexei Kouprianov"	TRUE
16561827	"2020-12-19 20:48"	"Alexei Kouprianov"	TRUE
16671231	"2020-12-19 23:01"	"Alexei Kouprianov"	TRUE
16778424	"2020-12-20 01:20"	"Alexei Kouprianov"	TRUE
16835648	"2020-12-20 02:55"	"Alexei Kouprianov"	TRUE
16862710	"2020-12-20 03:55"	"Alexei Kouprianov"	TRUE
16925054	"2020-12-20 09:07"	"Alexei Kouprianov"	TRUE
16945726	"2020-12-20 10:46"	"Alexei Kouprianov"	TRUE
